"page_num";"type";"title";"link";"authors";"source";"date";"issue";"volume";"pages";"doi";"keywords"
2;"Препринт";"The Relationship Between Social Identities, Acculturation Strategies And The Psychological Well-Being Of Young Russians In Latvia And Crimean Tatars In Crimea";"https://publications.hse.ru/view/320435089";"Kodja Ekaterina; Ryabichenko Tatiana";"Psychology. PSY. Высшая школа экономики";"2019";NA;NA;NA;NA;NA
2;"Статья";"Towards an integration of models of discrimination of immigrants: From ultimate (functional) to proximate (sociofunctional) explanations";"https://publications.hse.ru/view/253224538";"Grigoryev Dmitry; Batkhina Anastasia; van de Vijver Fons; Berry John W.";"Journal of International Migration and Integration";"2019";NA;NA;NA;"10.1007/s12134-019-00677-w";NA
2;"Книга";"Zusammenhalt in Vielfalt: Das Vielfaltsbarometer der Robert Bosch Stiftung";"https://publications.hse.ru/view/307954575";"Boehnke Klaus";"Stuttgart: Robert Bosch Stiftung GmbH";"2019";NA;NA;NA;NA;"сплоченность; разнообразие; Германия"
2;"Статья";"Валидизация опросника ""Круговая структура личностных метачерт"" на российской выборке";"https://publications.hse.ru/view/226141042";"Татарко Александр Николаевич; Макласова Екатерина Владимировна; Григорян Карина Арменовна";"Psychology, Journal of the Higher School of Economics";"2019";"4";"17";"705 - 729";"10.17323/1813-8918-2019-4-705-729";"personality metatraits; Big Five; the validity of the questionnaire; the reliability of the questionnaire"
2;"Статья";"Взаимосвязь взрослой и детской бедности с психологическими характеристиками личности";"https://publications.hse.ru/view/304749051";"Ефремова Мария Викторовна; Полуэктова Ольга Владимировна";"Социальная психология и общество";"2019";"3";"10";"118 - 136";"10.17759/sps.2019100308";"childhood poverty;  socioeconomic status; socioeconomic status in childhood; adult poverty; self-efficacy;  self-esteem; trust; life satisfaction"
2;"Статья";"Взаимосвязь опыта межкультурных взаимодействий, аккультурационных ожиданий и креативности у российских студентов";"https://publications.hse.ru/view/310771955";"Бульцева Мария Александровна; Лебедева Надежда Михайловна";"Cultural-Historical Psychology";"2019";"3";"15";"51 - 59";"10.17759/chp.2019150306";NA
2;"Статья";"Влияние просоциальных установок учителей на отношение учащихся к мигрантам в Италии и России";"https://publications.hse.ru/view/310145273";"Бомбиери Лучия; Лебедева Надежда Михайловна; Галяпина Виктория Николаевна";"Общественные науки и современность";"2019";"5";NA;"142 - 155";"10.31857/S086904990006568-6";"attitude towards migrants; stereotypes; newcomer-migrants; students of primary school; teachers"
2;"Статья";"Генерализованное доверие как фактор позитивного отношения москвичей к культурному разнообразию";"https://publications.hse.ru/view/280802171";"Дубров Дмитрий Игоревич";"Общественные науки и современность";"2019";"3";NA;"94 - 101";"10.31857/S086904990005088-8";" generalized trust; social capital; cultural diversity; Moscow identity"
2;"Статья";"Групповая работа: особенности взаимного оценивания и распределения вознаграждения (на англ. яз.)";"https://publications.hse.ru/view/345230355";"Bayazitova Diana";"Организационная психология";"2019";"4";"9";"174 - 184";NA;NA
2;"Статья";"Доверие как модератор связи отношения к этническому многообразию и аккультурационных ожиданий принимающего населения";"https://publications.hse.ru/view/219606428";"Татарко Александр Николаевич; Лепшокова Зарина Хизировна; Дубров Дмитрий Игоревич";"Социальная психология и общество";"2019";"1";"10";"92 - 114";"10.17759/sps.2019100106";NA
2;"Статья";"Индивидуальные ценности и активность использования интернета: сопоставление России и Европейских стран";"https://publications.hse.ru/view/314114609";"Татарко Александр Николаевич; Миронова Анна Алексеевна; Макласова Екатерина Владимировна";"Социальная психология и общество";"2019";"4";"10";"77 - 95";"10.17759/sps.2019100406";"digitalization;  information and communication technologies; Internet; basic human values; cross-cultural psychology"
2;"Статья";"Инновационная и бюрократическая организационные культуры как факторы проактивности членов организации";"https://publications.hse.ru/view/329095999";"Абрамова Ольга Александровна; Татарко Александр Николаевич";"Организационная психология";"2019";"4";"9";"98 - 124";NA;"innovative organizational environment;  innovation; self-efficacy; autonomy; organizational culture"
2;"Статья";"Интеграционная политика общества и отношение к мигрантам принимающего населения: исследование в 17 Европейских странах";"https://publications.hse.ru/view/314250720";"Татарко Александр Николаевич";"Psychology, Journal of the Higher School of Economics";"2019";"2";"16";"216 - 231";"10.17323/1813-8918-2019-2-216-231";NA
2;"Глава";"Исследование отношения учителей российских школ к мультикультурализму в образовательной среде";"https://publications.hse.ru/view/314401676";"Бушина Екатерина Валерьевна";"Социальная психология и общество: история и современность. Материалы Всероссийской научно-практической конференции с международным участием памяти академика РАО А.В. Петровского (15-16 октября 2019 г.)";"2019";NA;NA;"270 - 272";NA;NA
2;"Статья";"Межкультурные отношения в российском Крыму: эмпирическая проверка трех гипотез";"https://publications.hse.ru/view/302978514";"Коджа Екатерина Андреевна; Лебедева Надежда Михайловна; Галяпина Виктория Николаевна; Лепшокова Зарина Хизировна; Рябиченко Татьяна Анатольевна";"Psychology, Journal of the Higher School of Economics";"2019";"2";"16";"250 - 268";"10.17323/1813-8918-2019-2-250-268";"intercultural relations; acculturation; ethnic minorities; multiculturalism; integration; intercultural contacts; Crimea"
2;"Статья";"Множественные идентичности, аккультурация и адаптация русских в Латвии и Грузии";"https://publications.hse.ru/view/291834363";"Рябиченко Татьяна Анатольевна; Лебедева Надежда Михайловна; Плотка Ирина Даниловна";"Cultural-Historical Psychology";"2019";"2";"15";"54 - 64";"10.17759/chp.2019150206";"ethnic identity; place identity; integration;  national identity; adaptation; acculturation strategies; ethnic minorities"
2;"Глава";"Политика интеграции мигрантов, воспринимаемая угроза и доверие в обществе: исследование в России и Европейских странах";"https://publications.hse.ru/view/314401732";"Татарко Александр Николаевич";"Социальная психология и общество: история и современность. Материалы Всероссийской научно-практической конференции с международным участием памяти академика РАО А.В. Петровского (15-16 октября 2019 г.)";"2019";NA;NA;"299 - 300";NA;NA
3;"Статья";"Предикторы выбора русскими стратегии поведения в межкультурном конфликте";"https://publications.hse.ru/view/225284813";"Батхина Анастасия Александровна; Лебедева Надежда Михайловна";"Социальная психология и общество";"2019";"1";"10";"70 - 91";"10.17759/sps.2019100105";"intercultural conflict; personal values; conflict styles"
3;"Статья";"Роль симпатии и социальных идентичностей в отношении русских к разным нациям";"https://publications.hse.ru/view/323361366";"Велкова Кристина; Лебедева Надежда Михайловна";"Общественные науки и современность";"2019";"6";NA;"141 - 156";"10.31857/S086904990007566-4";"social identity; liking; affective attitudes; multiculturalism; Nations"
3;"Статья";"Современные исследования межгрупповых идеологий: ассимиляционизм, этнический дальтонизм, мультикультурализм, поликультурализм";"https://publications.hse.ru/view/217208826";"Дубров Дмитрий Игоревич; Григорьев Дмитрий Сергеевич";"Общественные науки и современность";"2019";"1";NA;"143 - 155";"10.31857/S086904990002755-2";NA
3;"Глава";"Социальные идентичности, аккультурация и адаптация мигрантов из Северного Кавказа в Москве. Сетевой анализ";"https://publications.hse.ru/view/314401555";"Лепшокова Зарина Хизировна; Григорьев Дмитрий Сергеевич";"Социальная психология и общество: история и современность. Материалы Всероссийской научно-практической конференции с международным участием памяти академика РАО А.В. Петровского (15-16 октября 2019 г.)";"2019";NA;NA;"290 - 293";NA;NA
3;"Статья";"Типы родительской вовлеченности в образование и успеваемость школьников";"https://publications.hse.ru/view/279087655";"Гошин Михаил Евгеньевич; Григорьев Дмитрий Сергеевич; Мерцалова Татьяна Анатольевна";"Voprosy Psikhologii";"2019";"2";NA;"29 - 45";NA;NA
3;"Статья";"Трансмиссия ценностей и психологическое благополучие подростков: трехпоколенное исследование русских и осетин в Республике Северная Осетия — Алания";"https://publications.hse.ru/view/314947619";"Галяпина Виктория Николаевна; Лебедева Надежда Михайловна";"Cultural-Historical Psychology";"2019";"2";"15";"43 - 53";"10.17759/chp.2019150205";"value transmission; values;  psychological well-being; degeneration; adolescents; ethnic minority; the Republic of North Ossetia — Alania"
3;"Статья";"Удовлетворенность жизнью, гражданская идентичность и аккультурационные ожидания принимающего населения Москвы";"https://publications.hse.ru/view/314250022";"Лепшокова Зарина Хизировна; Татарко Александр Николаевич";"Общественные науки и современность";"2019";"4";NA;"147 - 157";"10.31857/S086904990005822-6";NA
3;"Статья";"Экокультурная психология";"https://publications.hse.ru/view/321459888";"Берри Джон Уиддап";"Cultural-Historical Psychology";"2019";"4";"15";"4 - 16";"10.17759/chp.2019150401";NA
3;"Статья";"Эффективность влияния учителей на изменение отношения учащихся к мигрантам: исследование в Италии и России";"https://publications.hse.ru/view/308052016";"Bombieri Lucia; Galyapina Victoria Nikolaevna; Bushina Ekaterina";"Psychology, Journal of the Higher School of Economics";"2019";"2";"16";"285 - 301";"10.17323/1813-8918-2019-2-285-301";"дети-мигранты; просоциальные инструкции; поведенческие инструкции"
3;"Глава";"Acculturation";"https://publications.hse.ru/view/226977981";"van de Vijver Fons";"The SAGE encyclopedia of lifespan human development";"2018";NA;NA;"12 - 14";"10.4135/9781506307633.n12";NA
3;"Глава";"Acculturation and Identity";"https://publications.hse.ru/view/212159765";"Berry John W.";"Textbook of cultural psychiatry";"2018";NA;NA;"185 - 193";"10.1017/9781316810057";"аккультурация мигрантов; аккультурационные стратегии; стресс аккультурации; адаптация; культурная идентичность"
3;"Глава";"Acculturation and well-being of immigrant youth.";"https://publications.hse.ru/view/206355997";"Berry John W.";"Immigrant youth in Canada";"2018";NA;NA;"49 - 65";NA;NA
3;"Статья";"Acculturation expectation profiles of Russian majority group members and their intergroup attitudes";"https://publications.hse.ru/view/216830228";"Grigoryev Dmitry; van de Vijver Fons";"International Journal of Intercultural Relations";"2018";"3";"64";"90 - 99";"10.1016/j.ijintrel.2018.03.001";NA
3;"Статья";"Acculturation expectation profiles of Russian non-immigrants and their intergroup attitudes";"https://publications.hse.ru/view/226976103";"van de Vijver Fons";"International Journal of Intercultural Relations";"2018";NA;"64";"90 - 99";NA;NA
3;"Статья";"A cross-cultural study of the mediating role of implicit theories of innovativeness in the relationship between values and attitudes towards innovation";"https://publications.hse.ru/view/150588560";"Grigoryan Lusine; Lebedeva Nadezhda; Breugelmans Seger";"Journal of Cross-Cultural Psychology";"2018";"2";"49";"336 - 352";"10.1177/0022022116656399";"ценности; установки по отношению к инновациям; инновативность; имплицитные теории; медиация"
3;"Глава";"An indigenous measure of social desirability across western and non-Western countries";"https://publications.hse.ru/view/226852494";"Dominguez Espinosa A.; He J.; Rosabal-Coto M.; Harb C.; Benitez Baena I.; Acosta T.; Estrada C.; Barrios C.; van de Vijver Fons; Velasco Matus P. W.";"Venture into cross-cultural psychology: Proceedings from the 23rd Congress of the International Association for Cross-Cultural Psychology.";"2018";NA;NA;"1 - 12";NA;NA
3;"Статья";"Arab-Levantine personality study: A psycholexical study in Lebanon, Syria, Jordan, and the West Bank.";"https://publications.hse.ru/view/226889665";"Zeinoun P.; Daouk-Oyry L.; Choueiri L.; van de Vijver Fons";"Journal of Personality";"2018";NA;"86";"397 - 421";"10.1111/jopy.12324";NA
3;"Статья";"A Three-Generation Study of Acculturation and Identity of the Russian Minority in the Republic of North Ossetia–Alania";"https://publications.hse.ru/view/219580923";"Galyapina Victoria Nikolaevna; Lebedeva Nadezhda; van de Vijver Fons";"Journal of Cross-Cultural Psychology";"2018";"6";"49";"976 - 992";"10.1177/0022022118767578";"интеграция; ассимиляция; социальная идентичность; русское этническое меньшинство; Северный Кавказ"
3;"Статья";"Being Oneself Through Time: Bases of Self-Continuity Across 55 Cultures";"https://publications.hse.ru/view/205874317";"Becker Maja; Vignoles Vivian; Owe Ellinor; Easterbrook Matthew; Brown Rupert; Smith Peter; Abuhamdeh Sami....; .....Tatarko A.; ....Lay Siugmin";"Self and Identity";"2018";"3";"17";"276 - 293";"10.1080/15298868.2017.1330222";NA
3;"Глава";"Capturing bias in structural equation modeling.";"https://publications.hse.ru/view/226980623";"van de Vijver Fons";"Cross-cultural analysis: methods and applications, second edition";"2018";NA;NA;"3 - 43";NA;NA
3;"Книга";"Changing Values and Identities in Post-Communist World";"https://publications.hse.ru/view/210575240";"N. Lebedeva; R. Dimitrova; J. W. Berry.";"Switzerland: Springer";"2018";NA;NA;NA;"10.1007/978-3-319-72616-8";"ценности Ш. Шварца; идентичность"
4;"Глава";"Conclusion";"https://publications.hse.ru/view/219690272";"Lebedeva Nadezhda; Berry John W.";"Changing Values and Identities in Post-Communist World";"2018";NA;NA;"421 - 431";"10.1007/978-3-319-72616-8_24";NA
4;"Статья";"Confirming the structure of the dual process model of diversity amongst public sector South African employees.";"https://publications.hse.ru/view/226848169";"Jackson Leon T.B.; van de Vijver Fons";"Journal of Psychology in Africa";"2018";NA;"28";"182 - 191";"10.1080/14330237.2018.1475468";NA
4;"Статья";"Deep<U+2010>sea mining: Interdisciplinary research on potential environmental, legal, economic, and societal implications";"https://publications.hse.ru/view/206363150";"Koschinsky A.; Heinrich L.; Boehnke Klaus; Cohrs J. C.; Markus T.; Shani M.; Singh P.; Smith Stegen K.; Werner W.";"Integrated environmental assessment and management";"2018";"6";"14";"672 - 691";"10.1002/ieam.4071";NA
4;"Статья";"Discordance of acculturation attitudes of the host population and their dealing with immigrants";"https://publications.hse.ru/view/221526731";"Grigoryev Dmitry; van de Vijver Fons; Batkhina Anastasia";"Journal of Intercultural Communication Research";"2018";"6";"47";"491 - 509";"10.1080/17475759.2018.1497678";NA
4;"Глава";"Ecological perspective on human behaviour";"https://publications.hse.ru/view/185468741";"Berry John W.";"Socioeconomic Environment and Human Psychology: Social, Ecological, and Cultural Perspectives";"2018";NA;NA;"3 - 32";"10.1093/oso/9780190492908.003.0001";NA
4;"Статья";"How Much Is Enough in a Perfect World? Cultural Variation in Ideal Levels of Happiness, Pleasure, Freedom, Health, Self-Esteem, Longevity, and Intelligence";"https://publications.hse.ru/view/227013453";"Hornsey Matthew J.; Bain Paul G.; Harris Emily A.; Lebedeva Nadezhda; Kashima Emiko S.; Guan Yanjun; Gonzalez Roberto; Chen Sylvia Xiaohua; Blumen Sheyla";"Psychological Science";"2018";"9";"29";"1393 - 1404";"10.1177/0956797618768058";NA
4;"Статья";"Immigration policies: Relevant for developmental science.";"https://publications.hse.ru/view/226979601";"van de Vijver Fons";"Human Development";"2018";NA;"61";"1 - 3";"10.1159/000485363";NA
4;"Глава";"Intergenerational Transmission of Values in Urban and Rural Areas of Russia: the Role of Perceived Psychological Closeness";"https://publications.hse.ru/view/210575645";"Dubrov Dmitrii; Tatarko Alexander";"Changing Values and Identities in Post-Communist World";"2018";NA;NA;"117 - 130";"10.1007/978-3-319-72616-8_7";"индивидуальные ценности; межпоколенная трансмиссия ценностей; воспринимаемая психологическая близость; социализация; родители; подростки; сверстники"
4;"Глава";"Intergenerational Value Differences in Latvia and Azerbaijan";"https://publications.hse.ru/view/220438301";"Bushina Ekaterina; Ryabichenko Tatiana";"Changing Values and Identities in Post-Communist World";"2018";NA;NA;"85 - 98";"10.1007/978-3-319-72616-8_5";NA
4;"Глава";"Introduction";"https://publications.hse.ru/view/219573063";"Dimitrova Radosveta; Lebedeva Nadezhda; Berry John W.; Boehnke Klaus";"Changing Values and Identities in Post-Communist World";"2018";NA;NA;"1 - 24";"10.1007/978-3-319-72616-8_1";"ценности; идентичность"
4;"Статья";"Motives for Turkish return migration from Western Europe: Home, sense of belonging, discrimination and transnationalism.";"https://publications.hse.ru/view/226977345";"Kunuroglu F.; Yagmur K.; van de Vijver Fons";"Turkish Studies";"2018";NA;"19";"422 - 455";"10.1080/14683849.2017.1387479";NA
4;"Статья";"Multiculturalism in the workplace: Model and test.";"https://publications.hse.ru/view/226847234";"Jackson Leon T.B.; van de Vijver Fons";"SA Journal of Human Resource Management";"2018";NA;"16";"a908";"10.4102/sajhrm.v16i0.908";NA
4;"Статья";"On the Relation Between Social Dominance Orientation and Environmentalism: A 25-Nation Study";"https://publications.hse.ru/view/229397152";"Milfont Taciano L.; Bain Paul G.; Kashima Yoshihisa; Corral-Verdugo Victor; Pasquali Carlota; Johansson Lars-Olof; Guan Yanjun; Gouveia Valdiney V.; Gar<U+00F0>arsdo<U+00B4>ttir Ragna B.; Doron Guy; Bilewicz Michal; Utsugi Akira; Aragones Juan Ignacio; Steg Linda; Soland Martin; Park Joonha; Otto Siegmar; Demarque Christophe; Wagner Claire; Madsen Ole Jacob; Lebedeva Nadezhda; Gonza<U+00B4>lez Roberto; Schultz P. Wesley; Saiz Jose<U+00B4> L.; Kurz Tim; Gifford Robert; Akotia Charity S.; Saviolidis N<U+0131>na M.; Einarsdo<U+00B4> ttir Gro<U+00B4>";"Social Psychological and Personality Science";"2018";"7";"9";"802 - 814";"10.1177/1948550617722832";NA
4;"Глава";"On the role of international associations in cross-cultural communication";"https://publications.hse.ru/view/226850380";"van de Vijver Fons";"Visions and resources for international Psychology. 75 years of the International Council of Psychologists";"2018";NA;NA;"318 - 321";NA;NA
4;"Статья";"Patterns and determinants of immigrants’ sense of belonging to Canada and their source country";"https://publications.hse.ru/view/204284712";"Berry John W.; Hou Feng; Schellenberg Grant";"Ethnic and Racial Studies";"2018";"9";"41";"1612 - 1631";"10.1080/01419870.2017.1295162";NA
4;"Статья";"Personality and behavior prediction and consistency across cultures: A multimethod study of Blacks and Whites in South Africa.";"https://publications.hse.ru/view/226981224";"Fetvadjiev V. H.; Meiring D.; van de Vijver Fons; Nel J. A.; Sekaja L.; Laher S.";"Journal of Personality and Social Psychology";"2018";NA;"114";"465 - 481";"10.1037/pspp0000129";NA
4;"Глава";"Probing the Relationship Between Group Identities of Russians and Ossetians in the Republic of North Ossetia-Alania: Intergenerational Analysis";"https://publications.hse.ru/view/219591523";"Galyapina Victoria Nikolaevna; Lebedeva Nadezhda";"Changing Values and Identities in Post-Communist World";"2018";NA;NA;"243 - 258";"10.1007/978-3-319-72616-8_14";"этническая идентичность; национальная идентичность; Религиозная идентичность; республиканская идентичность; региональная идентичность; поколения; русские; осетины; этническое большинство; этническое меньшинство; Республика Северная Осетия-Алания"
4;"Статья";"Relations Among Higher Order Values Around the World";"https://publications.hse.ru/view/220751345";"Rudnev Maksim; Magun Vladimir; Schwartz Shalom";"Journal of Cross-Cultural Psychology";"2018";"8";"49";"1165 - 1182";"10.1177/0022022118782644";NA
4;"Препринт";"Relationship between personality meta-traits and negotiation styles";"https://publications.hse.ru/view/226207645";"Maklasova Ekaterina; Tatarko Alexander";"Psychology. PSY. Высшая школа экономики";"2018";NA;NA;NA;NA;NA
4;"Статья";"Same but different? Effects of equality/inclusion and cultural pluralism on intergroup outcomes in multiethnic classrooms.";"https://publications.hse.ru/view/226979413";"Schwarzenthal M.; Schachner M.; van de Vijver Fons; Juang L.";"Cultural Diversity and Ethnic Minority Psychology";"2018";NA;"24";"260 - 271";"10.1037/cdp0000173";NA
4;"Статья";"Schools as acculturative and developmental contexts for youth of immigrant and refugee background.";"https://publications.hse.ru/view/226979906";"Schachner M. K.; Juang L. P.; Moffitt U.; van de Vijver Fons";"European Psychologist";"2018";NA;"23";"44 - 56";"10.1027/1016-9040/a000312";NA
